Какой химический класс у Триады, ККР ? | Препарат относится к классу триазолов.
Какой химический класс у Триады, ККР ? | Препарат относится к химическому классу триазолов.
Какие заболевания покрывает спектр действия Триады, ККР ? | Препарат эффективен против мучнистой росы, ржавчины, стеблевых и листовых болезней, сетчатой пятнистости и др.
Какой период обработки рекомендуется для борьбы с фузариозом колоса на пшенице яровой и озимой с помощью Триады, ККР ? | Опрыскивание следует проводить в фазу конца колошения - начала цветения.
Какой период обработки рекомендуется для борьбы с мучнистой росой на ячмене яровом с помощью Триады, ККР ? | Опрыскивание следует проводить в период вегетации.
В какой упаковке поставляется Триада, ККР ? | Продукт доступен в канистрах объемом 5 литров.
Какой класс опасности у Триады, ККР ? | Препарат отнесен к 2 классу опасности, то есть является высокоопасным веществом.
Какой гарантийный срок хранения Триады, ККР ? | Гарантийный срок хранения составляет 2 года.
Как долго продолжается защитное действие Триады, ККР на пшенице яровой и озимой? | Защитное действие препарата продолжается в течение 3-4 недель.
Какой механизм действия у Триады, ККР ? | Препарат подавляет спорообразование грибов, ингибируя биосинтез эргостерина, что в итоге приводит к гибели патогена.
Какие условия хранения рекомендованы для Триады, ККР ? | Препарат следует хранить в температурном интервале от -10°C до +35°C.
Какой гарантийный срок хранения у Триады, ККР ? | Гарантийный срок хранения составляет 2 года.
Сколько дней нужно ожидать после обработки Триадой, ККР на пшенице яровой и озимой для борьбы с фузариозом колоса? | Срок ожидания составляет 30 дней (кратность обработок - 1-2).
Кто является регистрантом Триады, ККР ? | Регистрантом препарата является компания АО Щелково Агрохим в России.
Какая норма применения Триады, ККР на пшеницу яровую и озимую для борьбы с мучнистой росой и ржавчиной? | Рекомендуется использовать 0,5-0,6 литра препарата на гектар и расход 300 литров рабочей жидкости.
Как быстро начинает действовать Триада, ККР ? | Действие начинается сразу после обработки.
Какой период защитного действия Триады, ККР на пшенице яровой и озимой? | Защитное действие препарата сохраняется в течение 3-4 недель.
Какие рекомендации по приготовлению рабочего раствора Триады, ККР ? | Рабочий раствор готовить непосредственно перед применением. Начните с маточного раствора, с концентрацией 30-40%, затем добавьте необходимое количество препарата.
Сколько дней нужно ожидать после обработки Триадой, ККР на пшенице яровой и озимой? | Срок ожидания составляет 30 дней (кратность обработок - 1-2).
Какова фитотоксичность Триады, ККР для культурных растений? | Препарат не имеет фитотоксичного действия, и культурные растения хорошо переносят его при соблюдении рекомендаций.
Какова фитотоксичность Триады, ККР для культурных растений? | Препарат не проявляет фитонцидного действия. Культурные растения достаточно толерантны к нему при соблюдении регламентов применения.
Где производится Триада, ККР ? | Препарат производится компанией АО Щелково Агрохим в России.
Какая норма применения Триады, ККР на ячмене яровом для борьбы с мучнистой росой и другими болезнями? | Рекомендуется использовать 0,5-0,6 литра препарата на гектар и расход 300 литров рабочей жидкости.
